strategy,workload,layout,prompt_len_target,median_ttft_s,p95_ttft_s,median_total_latency_s,median_tokens_per_s,peak_server_rss_mb,samples,baseline_median_ttft_s,ttft_speedup
default_cache,coding,front_volatile,4096,4.302194500000041,4.51269136640185,5.602244208996126,48.85277401103089,5841.6875,57,4.318710250001459,1.0038389129086138
default_cache,coding,front_volatile,8192,11.72842029200001,11.95795705800001,13.075939041000083,47.255328384381365,9622.71875,57,11.660679707999977,0.9942242363154193
default_cache,coding,front_volatile,16384,37.77854775000014,40.81979958389988,39.450110374999895,39.27680358007396,8042.953125,19,37.44254416600006,0.9911059687570949
default_cache,rag,front_volatile,4096,3.377581542000371,3.4558283624995054,3.7909799580002073,47.05191843683467,5031.578125,19,3.385953416999655,1.0024786596252908
default_cache,rag,front_volatile,8192,8.951904292000108,9.01204458780021,9.46983950000049,40.65656065831736,8126.984375,19,8.907624291000502,0.9950535663077656
default_cache,rag,front_volatile,16384,26.003940624999817,26.31528765029943,26.71491754099952,37.51563749163444,10719.03125,19,25.34131249999973,0.9745181649752328
no_cache,coding,stable_prefix,4096,4.318710250001459,4.680406324799696,5.673348500000429,48.19641695440803,2432.953125,57,4.318710250001459,1.0
no_cache,coding,stable_prefix,8192,11.660679707999977,12.028516025199997,13.01896366699998,46.958491498551325,2744.46875,57,11.660679707999977,1.0
no_cache,coding,stable_prefix,16384,37.44254416600006,38.49808284970013,39.116438458000175,39.31439081007847,3361.84375,19,37.44254416600006,1.0
no_cache,rag,stable_prefix,4096,3.385953416999655,3.413638179100144,3.745702209000228,46.4066931403689,2429.34375,19,3.385953416999655,1.0
no_cache,rag,stable_prefix,8192,8.907624291000502,8.941849787800038,9.32386674999998,42.04473621947347,2734.4375,19,8.907624291000502,1.0
no_cache,rag,stable_prefix,16384,25.34131249999973,25.95377695480038,25.78303712500019,40.90054878657797,3342.75,19,25.34131249999973,1.0
stable_prefix,coding,stable_prefix,4096,0.1257237500000201,0.1339831004000018,1.3318327080000074,53.13326996775821,2432.21875,57,4.318710250001459,34.35079092057602
stable_prefix,coding,stable_prefix,8192,0.1813782500000798,0.19219881659982996,1.5485538750003798,46.878200272639965,2742.453125,57,11.660679707999977,64.28929437788074
stable_prefix,coding,stable_prefix,16384,0.3338020000001052,0.35935873719990924,2.2681609589999425,33.15680786976907,3361.640625,19,37.44254416600006,112.16992158821176
stable_prefix,rag,stable_prefix,4096,0.1275462909998168,0.13481326279961645,0.5185539160002008,46.42290054883305,2427.8125,19,3.385953416999655,26.546859108623696
stable_prefix,rag,stable_prefix,8192,0.1732113749994823,0.18555151700047637,0.5741477499996108,42.25776175115316,2732.671875,19,8.907624291000502,51.426323998796995
stable_prefix,rag,stable_prefix,16384,0.2444065830004547,0.2651878878001298,0.6300703329998214,42.71760308161242,3342.734375,19,25.34131249999973,103.68506522572915
