strategy,workload,layout,prompt_len_target,files,samples,median_ttft_s,p95_ttft_s,median_total_latency_s,p95_total_latency_s,median_decode_latency_s,median_tokens_per_s,median_rss_mb,max_rss_mb,baseline_median_ttft_s,ttft_speedup_vs_no_cache
default_cache,rag,front_volatile,4096,1,19,3.377581542000371,3.4558283624995054,3.7909799580002073,4.206383403600192,0.3605946659999972,47.05191843683467,3799.390625,5031.578125,3.385953416999655,1.0024786596252908
default_cache,rag,front_volatile,8192,1,19,8.951904292000108,9.01204458780021,9.46983950000049,10.132100958699539,0.5834005420001631,40.65656065831736,5574.640625,8126.984375,8.907624291000502,0.9950535663077656
default_cache,rag,front_volatile,16384,1,19,26.003940624999817,26.31528765029943,26.71491754099952,27.533424620500227,0.6716208329999063,37.51563749163444,7027.4375,10719.03125,25.34131249999973,0.9745181649752328
no_cache,rag,stable_prefix,4096,1,19,3.385953416999655,3.413638179100144,3.745702209000228,4.282350986900019,0.3645620840006813,46.4066931403689,2429.328125,2429.34375,3.385953416999655,1.0
no_cache,rag,stable_prefix,8192,1,19,8.907624291000502,8.941849787800038,9.32386674999998,9.466235746099938,0.4019294589998026,42.04473621947347,2732.515625,2734.4375,8.907624291000502,1.0
no_cache,rag,stable_prefix,16384,1,19,25.34131249999973,25.95377695480038,25.78303712500019,26.433624850000434,0.4491115829996488,40.90054878657797,3342.703125,3342.75,25.34131249999973,1.0
stable_prefix,rag,stable_prefix,4096,1,19,0.1275462909998168,0.13481326279961645,0.5185539160002008,1.0166831041997275,0.38773966700046,46.42290054883305,2427.796875,2427.8125,3.385953416999655,26.546859108623696
stable_prefix,rag,stable_prefix,8192,1,19,0.1732113749994823,0.18555151700047637,0.5741477499996108,0.7582884621996526,0.400795124999604,42.25776175115316,2732.671875,2732.671875,8.907624291000502,51.426323998796995
stable_prefix,rag,stable_prefix,16384,1,19,0.2444065830004547,0.2651878878001298,0.6300703329998214,1.0315688541995756,0.3804179999997359,42.71760308161242,3342.671875,3342.734375,25.34131249999973,103.68506522572915
